#    Equipo    PJ    PG   PE   PP   GF   GC    DIF   PTS
16  America  18  9  6  4  4  0  33

1  Toluca  20  11  7  2  3  -1  40
2  Pachuca  20  10  7  4  4  0  37
3  Chivas  20  13  6  4  3  1  45
4  America  20  6  6  2  1  1  24
5  Toluca  20  4  12  1  4  -3  24
6  Pachuca  20  11  5  3  0  3  38
7  Chivas  20  8  6  4  4  0  30
8  America  20  4  13  1  2  -1  25
9  Toluca  20  7  10  3  4  -1  31
10  Pachuca  20  4  13  1  2  -1  25
11  Chivas  20  8  9  3  2  1  33
12  America  20  6  7  4  4  0  25
13  Toluca  20  9  8  4  4  0  35
14  Pachuca  20  10  6  2  1  1  36
15  Chivas  20  9  6  4  1  3  33
16  America  20  9  8  0  3  -3  35

1  Toluca  22  13  7  1  0  1  46
2  Pachuca  22  12  7  2  0  2  43
3  Chivas  22  14  7  4  1  3  49
4  America  22  8  6  2  1  1  30
5  Toluca  22  6  12  2  1  1  30
6  Pachuca  22  12  6  3  1  2  42
7  Chivas  22  9  7  3  2  1  34
8  America  22  6  13  2  1  1  31
9  Toluca  22  7  12  1  2  -1  33
10  Pachuca  22  5  14  1  4  -3  29
11  Chivas  22  8  11  0  2  -2  35
12  America  22  6  9  0  1  -1  27
13  Toluca  22  9  10  1  2  -1  37
14  Pachuca  22  11  7  2  3  -1  40
15  Chivas  22  10  7  1  3  -2  37
16  America  22  9  10  1  2  -1  37

1  Toluca  24  15  7  4  2  2  52
2  Pachuca  24  12  9  3  4  -1  45
3  Chivas  24  14  8  2  2  0  50
4  America  24  9  7  2  0  2  34
5  Toluca  24  6  12  1  1  0  30
6  Pachuca  24  12  8  2  3  -1  44
7  Chivas  24  9  7  2  2  0  34
8  America  24  7  14  0  1  -1  35
9  Toluca  24  7  12  1  1  0  33
10  Pachuca  24  7  14  3  2  1  35
11  Chivas  24  8  11  2  2  0  35
12  America  24  7  10  1  0  1  31
13  Toluca  24  9  12  2  4  -2  39
14  Pachuca  24  13  7  4  3  1  46
15  Chivas  24  11  7  2  2  0  40
16  America  24  10  11  0  2  -2  41

1  Toluca  26  15  9  1  4  -3  54
2  Pachuca  26  12  10  1  1  0  46
3  Chivas  26  16  8  3  0  3  56
4  America  26  9  8  0  1  -1  35
5  Toluca  26  6  14  0  4  -4  32
6  Pachuca  26  13  9  2  3  -1  48
7  Chivas  26  10  7  3  0  3  37
8  America  26  8  15  2  0  2  39
9  Toluca  26  8  13  3  2  1  37
10  Pachuca  26  9  14  4  0  4  41
11  Chivas  26  9  12  0  2  -2  39
12  America  26  7  11  0  3  -3  32
13  Toluca  26  10  12  1  1  0  42
14  Pachuca  26  15  7  4  1  3  52
15  Chivas  26  12  7  1  0  1  43
16  America  26  10  13  0  3  -3  43

1  Toluca  28  16  10  3  2  1  58
2  Pachuca  28  14  10  4  0  4  52
3  Chivas  28  18  8  4  1  3  62
4  America  28  11  8  3  0  3  41
5  Toluca  28  6  16  0  2  -2  34
6  Pachuca  28  14  10  1  0  1  52
7  Chivas  28  10  8  3  3  0  38
8  America  28  8  17  0  1  -1  41
9  Toluca  28  9  13  3  3  0  40
10  Pachuca  28  11  14  1  0  1  47
11  Chivas  28  11  12  2  0  2  45
12  America  28  8  12  0  1  -1  36
13  Toluca  28  10  14  1  4  -3  44
14  Pachuca  28  15  9  0  3  -3  54
15  Chivas  28  13  8  2  3  -1  47
16  America  28  10  15  0  4  -4  45

1  Toluca  30  17  11  1  4  -3  62
2  Pachuca  30  14  12  3  4  -1  54
3  Chivas  30  19  9  3  4  -1  66
4  America  30  13  8  4  2  2  47
5  Toluca  30  7  16  4  4  0  37
6  Pachuca  30  15  10  4  4  0  55
7  Chivas  30  11  9  0  1  -1  42
8  America  30  8  19  2  3  -1  43
9  Toluca  30  11  13  3  2  1  46
10  Pachuca  30  12  15  1  0  1  51
11  Chivas  30  11  13  4  4  0  46
12  America  30  8  13  4  4  0  37
13  Toluca  30  10  16  2  4  -2  46
14  Pachuca  30  16  10  4  3  1  58
15  Chivas  30  15  8  4  3  1  53
16  America  30  11  16  4  1  3  49

