#    Equipo    PJ    PG   PE   PP   GF   GC    DIF   PTS
4        America        16        3        9        2        0        2        18
5        Cruz Azul        16        9        5        4        2        2        32
6        Atlante        16        7        8        2        4        -2        29
7        Atlas        16        8        5        3        1        2        29
8        Pumas        16        8        6        2        0        2        30
9        Toluca2        16        8        5        2        4        -2        29
10        Pachuca2        16        5        10        0        0        0        25
11        Chivas2        16        5        7        0        0        0        22
12        America2        16        4        5        0        2        -2        17
13        Cruz Azul2        16        4        8        2        4        -2        20
14        Atlante2        16        6        7        4        2        2        25
15        Atlas2        16        11        2        1        3        -2        35
16        Pumas2        16        6        8        0        2        -2        26

1        Toluca        18        7        9        1        2        -1        30
2        Pachuca        18        7        7        1        2        -1        28
3        Chivas        18        8        5        4        2        2        29
4        America        18        3        11        2        3        -1        20
5        Cruz Azul        18        10        5        0        0        0        35
6        Atlante        18        7        9        2        2        0        30
7        Atlas        18        8        7        1        4        -3        31
8        Pumas        18        8        7        1        1        0        31
9        Toluca2        18        9        6        2        1        1        33
10        Pachuca2        18        7        10        2        1        1        31
11        Chivas2        18        7        7        3        2        1        28
12        America2        18        4        7        2        4        -2        19
13        Cruz Azul2        18        5        8        2        2        0        23
14        Atlante2        18        6        8        0        0        0        26
15        Atlas2        18        12        2        1        1        0        38
16        Pumas2        18        8        8        4        1        3        32

1        Toluca        20        8        10        1        0        1        34
2        Pachuca        20        7        9        0        1        -1        30
3        Chivas        20        9        6        1        2        -1        33
4        America        20        4        12        0        2        -2        24
5        Cruz Azul        20        11        6        3        1        2        39
6        Atlante        20        8        10        4        1        3        34
7        Atlas        20        10        7        3        0        3        37
8        Pumas        20        9        7        4        0        4        34
9        Toluca2        20        10        7        2        1        1        37
10        Pachuca2        20        8        11        2        0        2        35
11        Chivas2        20        8        8        0        1        -1        32
12        America2        20        6        7        1        0        1        25
13        Cruz Azul2        20        5        10        0        3        -3        25
14        Atlante2        20        6        9        0        4        -4        27
15        Atlas2        20        13        3        1        3        -2        42
16        Pumas2        20        9        9        1        4        -3        36

1        Toluca        22        10        10        4        1        3        40
2        Pachuca        22        8        10        0        2        -2        34
3        Chivas        22        11        6        3        1        2        39
4        America        22        5        13        2        3        -1        28
5        Cruz Azul        22        11        8        0        3        -3        41
6        Atlante        22        8        12        1        3        -2        36
7        Atlas        22        11        8        1        3        -2        41
8        Pumas        22        9        9        0        2        -2        36
9        Toluca2        22        11        8        3        2        1        41
10        Pachuca2        22        8        13        1        3        -2        37
11        Chivas2        22        9        9        2        0        2        36
12        America2        22        6        9        1        4        -3        27
13        Cruz Azul2        22        7        10        2        0        2        31
14        Atlante2        22        7        10        3        1        2        31
15        Atlas2        22        15        3        3        1        2        48
16        Pumas2        22        11        9        3        0        3        42

1        Toluca        24        12        10        3        1        2        46
2        Pachuca        24        8        10        1        1        0        34
3        Chivas        24        11        8        3        4        -1        41
4        America        24        6        14        2        3        -1        32
5        Cruz Azul        24        12        8        2        2        0        44
6        Atlante        24        8        14        2        3        -1        38
7        Atlas        24        12        9        2        3        -1        45
8        Pumas        24        10        9        0        0        0        39
9        Toluca2        24        11        9        2        2        0        42
10        Pachuca2        24        10        13        3        2        1        43
11        Chivas2        24        10        10        3        2        1        40
12        America2        24        6        10        0        0        0        28
13        Cruz Azul2        24        7        12        1        3        -2        33
14        Atlante2        24        7        10        1        1        0        31
15        Atlas2        24        17        3        4        3        1        54
16        Pumas2        24        12        10        3        2        1        46

1        Toluca        26        12        11        1        1        0        47
2        Pachuca        26        9        11        1        0        1        38
3        Chivas        26        13        8        2        0        2        47
4        America        26        6        15        3        3        0        33
5        Cruz Azul        26        13        8        1        1        0        47
6        Atlante        26        10        14        4        1        3        44
7        Atlas        26        12        10        4        4        0        46
8        Pumas        26        11        9        3        1        2        42
9        Toluca2        26        11        11        1        4        -3        44
10        Pachuca2        26        10        14        1        1        0        44
11        Chivas2        26        10        11        1        3        -2        41
12        America2        26        7        10        4        4        0        31
13        Cruz Azul2        26        8        13        0        1        -1        37
14        Atlante2        26        8        10        1        1        0        34
15        Atlas2        26        18        3        3        3        0        57
16        Pumas2        26        12        12        0        2        -2        48

1        Toluca        28        12        12        0        1        -1        48
2        Pachuca        28        10        12        3        0        3        42
3        Chivas        28        14        9        4        3        1        51
4        America        28        8        15        3        2        1        39
5        Cruz Azul        28        13        10        2        4        -2        49
6        Atlante        28        10        16        0        3        -3        46
7        Atlas        28        13        11        0        3        -3        50
8        Pumas        28        12        9        1        1        0        45
9        Toluca2        28        12        12        3        0        3        48
10        Pachuca2        28        10        15        1        1        0        45
11        Chivas2        28        12        11        4        2        2        47
12        America2        28        9        10        3        0        3        37
13        Cruz Azul2        28        9        14        3        4        -1        41
14        Atlante2        28        8        12        2        3        -1        36
15        Atlas2        28        19        3        1        0        1        60
16        Pumas2        28        13        13        0        3        -3        52

1        Toluca        30        13        13        2        4        -2        52
2        Pachuca        30        10        13        4        4        0        43
3        Chivas        30        15        9        4        0        4        54
4        America        30        9        16        0        2        -2        43
5        Cruz Azul        30        14        11        3        1        2        53
6        Atlante        30        10        17        3        4        -1        47
7        Atlas        30        13        13        0        2        -2        52
8        Pumas        30        13        9        2        0        2        48
9        Toluca2        30        12        13        0        2        -2        49
10        Pachuca2        30        12        15        2        0        2        51
11        Chivas2        30        13        11        4        3        1        50
12        America2        30        10        11        1        3        -2        41
13        Cruz Azul2        30        10        15        2        0        2        45
14        Atlante2        30        8        13        0        4        -4        37
15        Atlas2        30        20        3        4        4        0        63
16        Pumas2        30        14        14        4        2        2        56

